RHOF	121801707	HEXDC	82440997
PRLR	35230268	CLPTM1L	1318453
KCTD5	2697997	TSC2	2086193
NCAPD2	6494154	MRPL48	73805027
DAB2	39392365	ARSB	78969192
TBCA	77708242	ARSB	78839426
DAB2	39424804	COL4A3BP	75459181
TBCD	82884202	GLIPR2	36147786
C9	39424804	COL4A3BP	75459181
CWC27	64885546	PLPP1	55426039
DYNC1I1	95869998	ASB4	95495758
UIMC1	176943335	DBN1	177468899
KMT2A	118482495	ATP5L	118431024
MIER3	56935428	KIF2A	62385484
RBM14	66618561	BBS1	66515540
HNRNPUL1	41268345	CLIP3	36032766
NRG4	76009200	SCNN1D	1290477
TNPO1	72816752	MEF2C	88761328
PAPD4	79613075	GPBP1	57175448
GIGYF2	232794944	HSCB	28751241
ASXL2	25806229	PPWD1	65576879
AJAP1	4655454	CYTH3	6190531
ASB4	95536550	DYNC1I1	95804721
KIF1B	10232434	FAM58A	153596187
FLVCR2	75579641	BATF	75546462
PRX	40398620	BLVRB	40448046
PDXK	43758542	RRP1B	43694893
ASPSCR1	81985607	HGS	81700467
SCMH1	41033983	CA6	8949263
MAPKAPK5	111842769	ALDH2	111803859
PEBP1	118139551	DENND4B	153936188
NFE2L1	48048462	NPEPPS	47596353
NR5A1	124500090	NR6A1	124524873
CSNK1G1	64355988	CS	56286645
GTF2I	74658068	FLAD1	154988105
KDM4B	5047669	CCDC94	4247119
SBNO2	1168694	TULP2	48889631
TMEM87B	112081118	PVT1	127890589
PGAP1	196885424	HSPD1	197497392
RCOR1	102681978	PPP2R5C	101856686
MAP4	47928228	ENPP7P14	5111430
NDEL1	8454887	KCNB1	49310799
ELMSAN1	73787102	ALDH6A1	74075017
EXOSC10	11079711	MTOR	11130777
PVT1	127794734	MERTK	111965191
AS3MT	102890678	SUFU	102597140
AARS2	44310994	SPATS1	44360446
EIF4H	74174442	AARS2	44312263
CAPRIN1	34090678	CD151	838133
NFKBIE	44262560	FBXO9	53071057
RNF185	31192702	SMTN	31095303
DDR2	162655374	ATF6	161958446
